,nextcube,v54,v70,v104,v114,v32,v102_prime,v62,i12,v82_prime,v74_prime,v86,v64,v46,v56,v50_prime,v42,v68_prime,v52_prime,v86_prime,v28_prime,i8,v94_prime,v26,v26_prime,v58,v42_prime,v98,v110,v68,v106_prime,v110_prime,v34,v28,v40_prime,v62_prime,v100,v98_prime,v60_prime,v94,v46_prime,v84_prime,v114_prime,v38_prime,i4,v54_prime,i18,v80_prime,v88_prime,v56_prime,v112,v74,v102,v92_prime,v72,v30_prime,v90_prime,v36_prime,i24,v100_prime,v90,i20,v76,v44,v48,v96_prime,v104_prime,v50,v84,i14,v78_prime,i2,v82,v66,v78,v64_prime,v30,v70_prime,v108,v112_prime,v96,v108_prime,v36,i16,v34_prime,v92,v38,v32_prime,v52,v76_prime,v58_prime,v72_prime,v44_prime,v66_prime,v106,v60,i10,i6,v88,v40,v48_prime,i22,v80
10,texas.two_proc^5.E_10.smt2,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1,1,0.0,1,1.0,1,1.0,1,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,0,1,1.0,1.0,1.0,1,1,0.0,1.0
11,texas.two_proc^5.E_11.smt2,1,1,1,0,1,1,1.0,1.0,1,1,1.0,1,0,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,1,1,1,1,1,1,1.0,1,1,1.0,0,0,1.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,1.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,1,1,1.0,1.0,1.0,0,1,1.0,0.0
12,texas.two_proc^5.E_12.smt2,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1,1,0.0,1,1.0,1,1.0,1,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,0,0,1.0,1.0,1.0,1,1,0.0,1.0
13,texas.two_proc^5.E_13.smt2,1,1,1,0,1,1,1.0,1.0,1,1,1.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,1,1,1,1,1,1,1.0,1,1,1.0,0,0,1.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,1.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,1,0,1.0,1.0,1.0,0,1,1.0,0.0
14,texas.two_proc^5.E_14.smt2,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1,1,0.0,1,1.0,1,1.0,1,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,0,1,1.0,1.0,1.0,1,1,0.0,1.0
15,texas.two_proc^5.E_15.smt2,1,1,1,0,1,1,1.0,1.0,1,1,1.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,1,1,1,1,1,1,1.0,1,1,1.0,0,0,1.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,1.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,1,1,1.0,1.0,1.0,0,1,1.0,0.0
16,texas.two_proc^5.E_16.smt2,1,1,1,0,1,1,1.0,1.0,1,1,1.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,1,1,1,1,1,1,1.0,1,1,1.0,0,0,1.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,1.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,1,1,1.0,1.0,1.0,0,1,1.0,0.0
17,texas.two_proc^5.E_17.smt2,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1,1,0.0,1,1.0,1,1.0,1,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,0,1,1.0,1.0,1.0,1,1,1.0,1.0
18,texas.two_proc^5.E_18.smt2,1,1,1,0,1,1,1.0,1.0,1,1,1.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,1,1,1,1,1,1,1.0,1,1,1.0,0,0,1.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,1.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,1,1,1.0,1.0,1.0,0,1,1.0,0.0
19,texas.two_proc^5.E_19.smt2,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1,1,0.0,1,1.0,1,1.0,1,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,0,1,1.0,1.0,1.0,1,1,0.0,1.0
20,texas.two_proc^5.E_20.smt2,1,1,1,0,1,1,1.0,1.0,1,1,1.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,1,1,1,1,1,1,1.0,1,1,1.0,0,0,1.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,1.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,1,1,1.0,1.0,1.0,0,1,1.0,0.0
21,texas.two_proc^5.E_21.smt2,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1,1,0.0,1,1.0,1,1.0,1,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,0,1,1.0,1.0,1.0,1,1,0.0,1.0
22,texas.two_proc^5.E_22.smt2,1,1,0,0,1,1,1.0,1.0,1,1,0.0,1,0,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,1,1,0.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,0,1,1.0,1.0,0.0,0,1,0.0,0.0
23,texas.two_proc^5.E_23.smt2,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1,1,0.0,1,1.0,1,1.0,1,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,0,1,1.0,1.0,1.0,1,1,0.0,1.0
24,texas.two_proc^5.E_24.smt2,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1,1,0.0,1,1.0,1,1.0,1,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,0,1,1.0,1.0,1.0,1,1,1.0,1.0
25,texas.two_proc^5.E_25.smt2,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1,1,0.0,1,1.0,1,1.0,1,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,0,1,1.0,1.0,1.0,1,1,0.0,1.0
26,texas.two_proc^5.E_26.smt2,1,1,0,0,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,1,1,0.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,0,1,1.0,1.0,0.0,0,1,1.0,0.0
27,texas.two_proc^5.E_27.smt2,1,1,0,1,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,0,1,1.0,1.0,0.0,0,1,1.0,0.0
28,texas.two_proc^5.E_28.smt2,1,1,0,1,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,0,1,1.0,1.0,0.0,0,1,1.0,0.0
29,texas.two_proc^5.E_29.smt2,1,1,0,1,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,0.0,1,1,1.0,0,0,0.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,0,1,1.0,1.0,0.0,0,1,1.0,0.0
30,texas.two_proc^5.E_30.smt2,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1,1,0.0,1,1.0,1,1.0,1,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,0,0,1.0,1.0,1.0,1,1,0.0,1.0
31,texas.two_proc^5.E_31.smt2,1,1,1,0,1,1,1.0,1.0,1,1,1.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,1,1,1,1,1,1,1.0,1,1,1.0,0,0,1.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,1.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,1,0,1.0,1.0,1.0,0,1,1.0,0.0
32,texas.two_proc^5.E_32.smt2,1,1,0,0,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,1,1,0.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,1,0,1.0,1.0,0.0,0,1,0.0,0.0
33,texas.two_proc^5.E_33.smt2,1,1,1,0,1,1,1.0,1.0,1,1,1.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,1,1,1,1,1,1,1.0,1,1,1.0,0,0,1.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,1.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,1,0,1.0,1.0,1.0,0,1,1.0,0.0
34,texas.two_proc^5.E_34.smt2,1,1,0,1,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,1,1,1,1,1,1,0.0,1,1,1.0,0,0,0.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,1,0,1.0,1.0,0.0,0,1,1.0,0.0
35,texas.two_proc^5.E_35.smt2,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1,1,0.0,1,1.0,1,1.0,1,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,0,1,1.0,1.0,1.0,1,1,1.0,1.0
36,texas.two_proc^5.E_36.smt2,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1,1,0.0,1,1.0,1,1.0,1,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,0,1,1.0,1.0,1.0,1,1,0.0,1.0
37,texas.two_proc^5.E_37.smt2,1,1,0,0,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,1,1,0.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,1,1,1.0,1.0,0.0,0,1,0.0,0.0
38,texas.two_proc^5.E_38.smt2,1,1,1,0,1,1,1.0,1.0,1,1,1.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,1,1,1,1,1,1,1.0,1,1,1.0,0,0,1.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,1.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,1,1,1.0,1.0,1.0,0,1,1.0,0.0
39,texas.two_proc^5.E_39.smt2,1,1,0,0,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,1,1,0.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,1,1,1.0,1.0,0.0,0,1,0.0,0.0
40,texas.two_proc^5.E_40.smt2,1,1,0,0,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,0,1,1.0,1.0,0.0,0,1,1.0,0.0
41,texas.two_proc^5.E_41.smt2,1,1,0,1,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,0,1,1.0,1.0,0.0,0,1,1.0,0.0
42,texas.two_proc^5.E_42.smt2,0,0,0,0,0,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,0,1,1,0,1,1,1,0.0,1,1,1.0,1,0,0.0,1,1,1.0,1,1.0,1,1.0,0,1,1.0,1,1,1,0.0,1,0,1,0,1.0,1,0,0,1,1.0,1,1,1,1,1,1,1,0.0,1.0,0.0,0,1,1.0,1.0
43,texas.two_proc^5.E_43.smt2,0,0,0,0,0,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,0,1,1,1,0.0,1,1,1.0,1,0,0.0,1,1,1.0,1,1.0,1,1.0,0,1,1.0,1,1,1,0.0,1,0,1,0,1.0,1,0,0,1,1.0,1,1,1,1,1,1,1,0.0,1.0,0.0,0,1,1.0,1.0
44,texas.two_proc^5.E_44.smt2,0,0,0,0,0,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,0,1,1,1,1.0,1,1,1.0,1,0,0.0,1,1,1.0,1,1.0,1,1.0,0,1,1.0,1,1,1,0.0,1,0,1,1,1.0,1,0,0,1,0.0,1,1,1,1,1,1,1,0.0,1.0,0.0,0,1,1.0,1.0
45,texas.two_proc^5.E_45.smt2,1,1,0,1,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,1,1,1,1,1,1,0.0,1,1,1.0,0,0,0.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,1,1,1.0,1.0,0.0,0,1,1.0,0.0
46,texas.two_proc^5.E_46.smt2,1,1,0,0,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,0.0,1,1,1.0,0,0,0.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,0,1,1.0,1.0,0.0,0,1,1.0,0.0
47,texas.two_proc^5.E_47.smt2,1,1,0,1,1,1,1.0,1.0,1,1,0.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,0,0,1.0,1,1,1.0,0,1.0,1,1.0,0,1,0.0,1,1,1,0.0,1,0,1,1,1.0,1,1,0,1,1.0,1,1,1,1,1,0,1,1.0,1.0,0.0,0,1,1.0,0.0
