,nextcube,i20,i8',i12',v42,v48,v30,i20',i4',i4,i18,i10,v44,i16,v24,v34,i14',v40,v50,i6',v38,v52,v28,i12,i2',i18',i16',i6,v32,i2,i14,v26,v46,i10',i8,v36,v22
16,eijk.S208o.S_16.smt2,1,1.0,1.0,1,0,0,0,1.0,1.0,1,1.0,1,1.0,1,1,0.0,1,0,1.0,1,1,1,1.0,0,0,0,1.0,0,0,1.0,1,0,1.0,1.0,1,1
17,eijk.S208o.S_17.smt2,1,1.0,1.0,1,0,0,0,1.0,1.0,1,1.0,1,1.0,1,0,0.0,1,1,1.0,1,1,1,1.0,0,0,0,1.0,0,0,1.0,1,0,1.0,1.0,1,1
18,eijk.S208o.S_18.smt2,1,1.0,1.0,0,0,0,0,1.0,1.0,1,1.0,0,1.0,1,1,0.0,0,1,1.0,0,0,1,1.0,0,0,0,1.0,0,0,1.0,1,1,1.0,1.0,1,1
19,eijk.S208o.S_19.smt2,1,1.0,0.0,1,0,0,0,1.0,1.0,1,1.0,1,1.0,1,0,0.0,1,0,1.0,1,0,1,1.0,0,0,0,1.0,0,0,1.0,1,0,1.0,1.0,1,1
20,eijk.S208o.S_20.smt2,1,1.0,0.0,0,0,0,0,1.0,1.0,1,1.0,0,1.0,1,0,0.0,0,0,1.0,0,0,1,1.0,0,0,0,1.0,0,0,1.0,1,1,1.0,1.0,1,1
21,eijk.S208o.S_21.smt2,1,1.0,0.0,1,0,0,0,1.0,1.0,1,1.0,1,1.0,0,0,0.0,1,0,1.0,1,1,0,1.0,0,0,0,1.0,1,0,1.0,0,0,1.0,1.0,1,0
22,eijk.S208o.S_22.smt2,1,1.0,0.0,1,0,0,0,1.0,1.0,1,1.0,1,1.0,0,1,0.0,1,0,1.0,1,0,0,1.0,0,0,0,1.0,1,0,1.0,0,0,0.0,1.0,0,1
23,eijk.S208o.S_23.smt2,1,1.0,0.0,1,0,0,0,1.0,1.0,1,1.0,1,1.0,1,0,0.0,1,0,1.0,1,0,1,1.0,0,0,0,1.0,0,0,1.0,1,0,0.0,1.0,0,0
24,eijk.S208o.S_24.smt2,1,1.0,0.0,0,0,0,0,1.0,1.0,1,1.0,0,1.0,1,0,0.0,0,1,1.0,1,0,1,1.0,0,0,0,1.0,0,0,1.0,1,1,0.0,1.0,0,1
25,eijk.S208o.S_25.smt2,1,0.0,0.0,0,0,0,0,1.0,1.0,1,1.0,0,1.0,1,0,0.0,0,0,1.0,0,0,1,1.0,0,0,0,1.0,0,0,1.0,1,0,0.0,1.0,0,0
26,eijk.S208o.S_26.smt2,1,0.0,0.0,1,0,0,0,1.0,1.0,1,1.0,1,1.0,0,0,0.0,1,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0.0,1.0,0,0
27,eijk.S208o.S_27.smt2,1,0.0,0.0,1,0,0,0,1.0,1.0,1,1.0,1,1.0,1,1,0.0,1,0,1.0,0,0,0,1.0,0,0,0,1.0,1,0,1.0,0,0,0.0,1.0,1,0
28,eijk.S208o.S_28.smt2,1,0.0,0.0,0,1,0,0,1.0,1.0,1,1.0,0,1.0,1,0,0.0,1,1,1.0,0,0,1,1.0,0,0,0,1.0,0,0,1.0,1,1,0.0,1.0,0,0
29,eijk.S208o.S_29.smt2,1,0.0,0.0,0,1,0,0,1.0,1.0,1,1.0,0,1.0,0,0,0.0,0,1,0.0,1,1,1,1.0,0,0,0,1.0,0,0,1.0,0,1,0.0,1.0,0,0
30,eijk.S208o.S_30.smt2,1,0.0,0.0,0,0,1,0,1.0,1.0,1,1.0,1,1.0,0,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,1.0,1,0,1.0,0,0,0.0,1.0,1,1
31,eijk.S208o.S_31.smt2,1,0.0,0.0,1,0,0,0,1.0,1.0,1,1.0,1,1.0,0,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,1.0,1,0,1.0,1,0,0.0,1.0,1,1
32,eijk.S208o.S_32.smt2,1,0.0,0.0,1,1,0,0,1.0,1.0,1,1.0,0,1.0,0,0,0.0,0,1,0.0,0,1,1,1.0,0,0,0,1.0,0,0,1.0,1,1,0.0,1.0,0,0
33,eijk.S208o.S_33.smt2,1,0.0,0.0,0,0,0,0,0.0,1.0,1,1.0,1,1.0,0,0,0.0,0,0,0.0,0,0,1,1.0,0,0,0,1.0,0,0,1.0,0,0,0.0,1.0,0,0
34,eijk.S208o.S_34.smt2,1,0.0,0.0,0,0,0,0,0.0,1.0,1,1.0,1,1.0,1,1,0.0,0,0,0.0,0,0,1,1.0,0,0,0,1.0,1,0,1.0,0,0,0.0,1.0,1,1
35,eijk.S208o.S_35.smt2,1,0.0,0.0,0,0,0,0,0.0,1.0,1,1.0,1,1.0,0,0,0.0,0,0,0.0,0,0,1,1.0,0,0,0,1.0,0,0,1.0,0,0,0.0,1.0,0,0
36,eijk.S208o.S_36.smt2,1,0.0,0.0,0,0,0,0,0.0,1.0,1,1.0,1,1.0,0,0,0.0,1,1,0.0,1,1,1,1.0,0,0,0,1.0,0,0,1.0,0,1,0.0,1.0,0,0
37,eijk.S208o.S_37.smt2,1,0.0,0.0,0,0,0,0,0.0,1.0,1,1.0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0.0,1.0,0,0
38,eijk.S208o.S_38.smt2,1,0.0,0.0,0,0,0,0,0.0,1.0,1,1.0,0,1.0,1,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,1.0,1,0,1.0,1,0,0.0,1.0,1,1
39,eijk.S208o.S_39.smt2,1,0.0,0.0,0,1,0,0,0.0,1.0,1,1.0,0,1.0,0,0,0.0,1,1,0.0,1,1,0,1.0,0,0,0,1.0,0,0,1.0,0,1,0.0,1.0,0,0
